id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
8f765464d8,73999,acer,Aspire GO,5.0,8,14.0,512,6,,0.0,0,Acer Aspire GO 14 AMD Ryzen 5 7520U – 8GB DDR5 RAM – 512GB NVMe SSD – AMD Radeon Graphics – 14″ WUXGA Display – Silver
4efc4d432e,146666,asus,TUF Gaming,5.0,8,15.6,512,12,3050.0,0.0,0,"ASUS TUF Gaming F15 FX507ZC4 - i5 12th Gen 12500H | RTX 3050 Graphics | 8 GB RAM | 512 GB SSD | 15.6"" FHD 144Hz Display | Windows 11 | Nagmani International"
edb47f7d37,299000,apple,MacBook Air,7.5,24,13.6,1024,8,2800.0,0.0,0,"Apple MacBook Air (13.6 inch M2, 2022) Apple M2 Chip with 8C CPU, 10C GPU, 24GB RAM, 1TB SSD -EvoStore"
9310435ab6,49999,dell,Vostro 3520,3.0,8,15.6,256,6,2800.0,0.0,0,Dell Vostro 3520 Intel Core i3 12th Generation 1215U – 8GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD 120Hz Display – Black
ae09089fed,74999,lenovo,ThinkBook 14,5.0,8,14.0,256,6,,0.0,0,"Lenovo ThinkBook 14 5-1255U | 8GB RAM | 256GB SSD | 14"" FHD Display | Backlight Keyboard | 1 Year Warranty"
012daea825,380000,apple,Macbookpro 14.2‑Inch,6.5,16,14.0,1024,6,2500.0,0.0,0,Apple Macbookpro 14.2‑Inch 10-Core Cpu/16-Core Gpu/16Gb/1Tb Ssd
17c850afd4,58000,hp,14 Core,3.0,4,14.0,128,4,,0.0,0,HP 14 Core i3 10th Gen 4GB RAM 128GB SSD 14’’HD
558202321a,114999,hp,Elitebook 845,5.0,16,14.0,512,6,,0.0,0,HP Elitebook 845 G9 AMD Ryzen 5 PRO 16GB RAM/512GB SSD
5f1284742e,355000,apple,MacBook Pro,6.5,16,16.0,512,10,2500.0,0.0,0,"Apple MacBook Pro (16-inch, Apple M1 Pro chip with 10‑core CPU and 16‑core GPU, 16GB RAM, 512GB SSD) - Space Gray"
33abd46ed9,57000,dell,Vostro 15,5.0,8,15.6,256,10,2800.0,0.0,0,"Dell Vostro 15 3520 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6"" FHD Display)"
